text,label
My bill shows $124 but my plan is supposed to be $89. Why the extra charges,Billing
I got a late fee but I paid on the 3rd. Your system must have processed it wrong,Billing
Can you explain what the 'Regulatory Recovery Fee' of $4.28 is on my statement,Billing
I was charged for a pay-per-view movie I never ordered. Please remove it,Billing
Why did my autopay take out $215 this month instead of the usual $95,Billing
I paid my past due balance an hour ago but my service is still shut off,Billing
There are two payments of $78.99 posted on April 16th. I only authorized one,Billing
My paper bill shows a $10 'Paper Statement Fee'. I never opted in for that,Billing
Why am I being taxed twice on my bill. There’s state and local plus another line,Billing
My bill went up $20 after my 12-month promo ended. What are my options,Billing
Supervisor said I’d get a $50 credit last month. It’s not on this bill,Billing
My bill says I used 1.2TB but I don’t have data caps. Why are you tracking it,Billing
Got charged an early termination fee but I’m month-to-month,Billing
Why is there a $35 'Restoral of Service' fee when I paid same day,Billing
What’s the total to cancel today with equipment fees included,Billing
"My bill shows a $9.99 'Sports Broadcast Fee' but I don’t have cable, just internet",Billing
I’m on budget billing. Why did my monthly amount jump from $102 to $140,Billing
You charged me for a service call but the tech said it was free,Billing
I need an itemized bill mailed to me. I don’t see the option online,Billing
There’s a $25 charge labeled 'One-Time Charge' with no description,Billing
My autopay discount fell off this month. I didn’t change anything,Billing
Why did you bill me for a full month when I only had service for 12 days,Billing
I disputed a charge with my bank and now you added a $15 return fee,Billing
Can you apply my $100 Visa Reward Card credit to my past due balance,Billing
My bill has a $6.50 'Administrative Fee'. What’s that for,Billing
I was double billed for the equipment protection plan,Billing
Please waive the late fee. The outage prevented me from paying online,Billing
My bill says $0 due but the app says I’m past due $87. Which is right,Billing
I’m getting charged for a second line I cancelled in January,Billing
Why did my taxes go up $3 when my base plan price didn’t change,Billing
Can you reprint my last 3 months of bills for my HSA reimbursement,Billing
My promo credit of $30 isn’t showing this cycle,Billing
I paid at Walmart MoneyCenter 4 days ago and it’s still not posted,Billing
There’s a $19.99 'Tech Assist' charge. I never called for support,Billing
My bill is $15 higher but my usage was lower. That makes no sense,Billing
I want to remove the insurance on my phone line effective today,Billing
Why am I paying $5 for a paper bill and $5 for autopay. Shouldn’t one be free,Billing
Can you backdate a payment arrangement so I don’t get a late fee,Billing
My account shows a $200 credit but I never paid extra. Is this an error,Billing
You billed my old card that expired. Can you switch to my new one and retry,Billing
My internet has been out since the storm on Tuesday. I need a tech sent out,Repair
Upload speeds dropped to 1 Mbps yesterday and I run a business from home,Repair
Router keeps rebooting every 10 minutes. I’ve reset it three times already,Repair
The technician didn’t fix the outside line. My service went down again 2 hours after he left,Repair
Cable box shows error code RDK-03036. No channels are working,Repair
Service has been buffering all week on every device. Speed test shows 8 Mbps down,Repair
ONT has a red Alarm light. Power cycling didn’t help. What’s next,Repair
Internet drops every night around 9pm for 20 minutes. Started last Thursday,Repair
Technician was a no-show in my 12-4pm window. I took off work for this,Repair
My static IP stopped working after the outage yesterday,Repair
Coax cable outside is hanging low after the wind storm. Safety issue,Repair
Modem keeps losing connection and the online light blinks green,Repair
Every time someone uses the microwave my WiFi disconnects,Repair
My TV freezes on HD channels but SD channels work fine,Repair
Internet works but phone line has no dial tone since this morning,Repair
Getting packet loss in online games. Ping spikes to 400ms every few seconds,Repair
The buried line flag is still in my yard from 3 weeks ago. When will you bury it,Repair
My service was working before your maintenance last night. Now it’s dead,Repair
WiFi signal doesn’t reach my bedroom after I got the new gateway,Repair
Error code XRE-00250 on all cable boxes after the power flicker,Repair
Uploads fail on Zoom calls. My boss says I’m breaking up,Repair
There’s a loud hum on my landline and I can barely hear callers,Repair
The new fiber was installed but the tech didn’t activate my port,Repair
My speeds are fine on ethernet but WiFi is under 10 Mbps right next to router,Repair
Internet cuts out whenever it rains. This has been going on for months,Repair
I want to sign up for your 1 Gig fiber plan. Is it available at 75201,Sales
"Do you have any new customer promos for internet only, no bundle",Sales
Can I get the iPhone 16 Pro on installment if I port my number from T-Mobile,Sales
Looking to add a second line to my account. What’s the cheapest unlimited plan,Sales
I want the 500 Mbps plan with no data caps. Is there a contract,Sales
Can I bundle YouTube TV through you guys for a discount,Sales
Is there a setup fee if I self-install the internet kit,Sales
Sign me up for Spectrum Mobile if I get the 300 Mbps internet,Sales
New neighbor referral gave me a $100 card code. How do I apply it,Sales
"What’s the price for 2 gig internet at my address in Austin, 78704",Sales
Do you offer a senior discount on internet plans,Sales
Can I get HBO Max included if I upgrade my cable package today,Sales
I’m moving next Friday. Can I schedule install for the new place now,Sales
Do you price match if I bring a quote from Cox for $49.99,Sales
Is the modem free or do I have to rent it for $15 a month,Sales
Xfinity quoted me $50 for 400 Mbps. Can you beat that price,Retention
I’ve been with Verizon for 9 years. Take this $15 surcharge off or I’m cancelling,Retention
Your prices keep going up. Either give me the new customer rate or close my account,Retention
AT&T Fiber is offering me $55 a month. Will you price match to keep me,Retention
Cancel my account. I’m moving back to Canada next week,Retention
I was promised a loyalty discount for staying after my contract. Where is it,Retention
If you can’t waive this activation fee I’ll stay with my current provider,Retention
Your competitor doesn’t charge for equipment. Why should I stay,Retention
I’m on a fixed income. If you can’t lower my bill I have to disconnect,Retention
This is the third price increase this year. I’m done,Retention
I ordered a replacement cable box 6 days ago. Tracking still says 'label created',Order Management
Need to change the installation date for my internet. Order #VTX-88921,Order Management
I received a damaged modem. The box was crushed and it rattles,Order Management
Still haven’t received the SIM card for my new line. Ordered 4/14,Order Management
I want to return the WiFi extender I bought. It didn’t fix the dead zone,Order Management
Can I upgrade my phone online and pick it up in store today,Order Management
Track my equipment return. I dropped it at UPS 5 days ago and you still haven’t closed the order,Order Management
I ordered a self-install kit but you sent a technician instead. Cancel the tech,Order Management
The agent put the wrong speed on my order. I wanted 1 gig not 300 Mbps,Order Management
Can you expedite my equipment shipping? I paid for overnight,Order Management
My bill is showing a $150 'Unreturned Equipment' fee but I sent it back 2 weeks ago,Billing
Can you break my $340 past due into 3 payments,Billing
I’m a veteran. Do you have a military discount you can apply,Billing
Why did my plan change without me authorizing it. I was on the $60 plan,Billing
Your website took my payment but I never got a confirmation email,Billing
Add my son as an authorized user so he can discuss the bill,Billing
I’m getting charged $12 for 'Inside Wire Maintenance'. I declined that,Billing
Can you reverse the $8.99 'Convenience Fee' for paying by phone,Billing
My bill doesn’t reflect the autopay + paperless discount of $10,Billing
I need to update the name on my account due to marriage,Billing
Service address is wrong on my bill. Will that affect 911,Billing
I paid through my bank’s bill pay and you charged me a late fee anyway,Billing
Take me off the seasonal suspend. I’m back at my house now,Billing
Why is there a 'State Cost Recovery Fee' of $2.97,Billing
Can you email me a PDF of my bill? The portal won’t load,Billing
My roommate moved out. Take their line off and recalculate my bill,Billing
I was told my first month was free. Why am I being charged $79,Billing
"Please remove the $3.99 'Help Desk Fee'. I used the app, not a rep",Billing
My bill says I have a $0 balance but I know I owe for this month,Billing
Can you split this bill so my ex pays their portion,Billing
Internet light on my modem is off but power and WiFi are on,Repair
Getting DNS errors on all devices. Can’t load any websites,Repair
Tech said the node in my area is oversold. When will it be fixed,Repair
My eero mesh nodes keep going offline since your firmware update,Repair
Cable works but internet is down. Two separate outages,Repair
Speeds drop to 3 Mbps from 5pm to 11pm every single night,Repair
I hear static and clicking on my phone line during calls,Repair
The box outside my house is open and wires are exposed,Repair
My service was working before I switched to your new gateway,Repair
Getting 'No Signal' on HDMI 1 but HDMI 2 works. Is it the box,Repair
"Internet works for 10 minutes then dies for 5, all day long",Repair
Can you run a line test? My calls keep dropping at 2 minutes,Repair
My upload speed is 0.4 Mbps. I can’t send email attachments,Repair
Tech came but didn’t have the right part. When is the next visit,Repair
The app says outage in my area but my neighbor’s service works,Repair
I want to add my college student to my plan for $25 a line,Sales
Do you offer prepaid internet with no credit check,Sales
Can I get the Samsung S25 Ultra with $800 trade-in credit today,Sales
Is there a bundle discount if I add home security,Sales
What’s the install fee if I need a new line buried to my house,Sales
Do you have 5G home internet at 90210,Sales
Can I get a second modem for my detached garage,Sales
Looking for internet for my small business. Need 4 lines + static IP,Sales
Do you offer ACP or Lifeline discounts,Sales
If I prepay 12 months do I get a discount,Sales
I’m switching from CenturyLink. Can you handle the number port,Sales
Retention just offered me $20 off. Can you do $30,Retention
I'm paying $180 for internet and TV. That’s too high for channels I don’t watch,Retention
Your chat agent was rude. If that’s your service level I want to cancel,Retention
Give me the same deal you gave my neighbor or I’m leaving,Retention
I’m temporarily moving for work. Can you pause instead of cancel,Retention
Make my rate $70 flat or disconnect me. No counter offer,Retention
Why would I stay when Starlink is the same price with no outages,Retention
I’ve had 4 outages this month. Credit my bill or I’m gone,Retention
Your loyalty department didn’t call back like promised. Last chance,Retention
Remove all extras. If my bill isn’t under $90 I’m cancelling,Retention
I need to cancel my pending order. I found a better deal,Order Management
Change my phone upgrade from black to blue if it hasn’t shipped,Order Management
"I received someone else’s equipment. Label has my address, wrong name",Order Management
Add a note to my install: gate code is 3490#,Order Management
Can you overnight the replacement power cord for my modem,Order Management
My order says complete but tech never came and nothing works,Order Management
I want to pick up my new phone at the store on 5th Street instead,Order Management
Cancel the TV portion of my order. Keep internet only,Order Management
The system let me order 2 gig but now you say it’s not available,Order Management
Please confirm my disconnect date is April 30th so I don’t get rebilled,Order Management
My bill shows 'Equipment Non-Return' fee but I have UPS drop off receipt,Billing
Can you waive the $99 reconnect fee? My power was out during the due date,Billing
Why am I being charged for 3 lines when I only have 2 active,Billing
I’m on fixed income. Can you move my due date to the 5th of each month,Billing
Please email manager for credit approval on the $200 install fee,Billing
My bill is in collections but I never got a final notice,Billing
Can you confirm my account is paid in full with zero balance,Billing
I need the EIN on my bill for my business taxes,Billing
Why did my 'Price for Life' plan go up $7,Billing
You charged me a deposit again. I already paid one in 2021,Billing
My bill shows two 'Federal Universal Service' fees,Billing
Can I pay $50 today and the rest Friday to avoid shutoff,Billing
I want to dispute the $45 truck roll fee. The problem was on your pole,Billing
Please remove the 'Broadcast TV Surcharge'. I stream only,Billing
My bill prorated incorrectly after I downgraded. Overcharged $22,Billing
Can you resend my bill in large print format,Billing
I’m blind and need voice bill reading. How do I enroll,Billing
Why is my new bill $30 more when I removed a service,Billing
Add my DBA name to the business account billing,Billing
My bill shows a credit but your IVR says I owe money,Billing
TV pixelates on windy days. Signal levels look bad on the box,Repair
"Internet fine on phone but laptop says 'No Internet, Secured'",Repair
My landline works for incoming but I can’t dial out,Repair
"Since the outage, my TiVo can’t connect to your service",Repair
Getting buffering on every streaming app but speed test is 450 Mbps,Repair
The tech cut my neighbor’s line while fixing mine. Now they’re out,Repair
My eero app says 'Double NAT detected'. Is that your gateway,Repair
Internet drops when I get a phone call on my landline,Repair
New gateway has weaker 5GHz range than the old one,Repair
My public IP changes every hour. I need it stable for my VPN,Repair
Can’t port forward anymore since you swapped my modem,Repair
Getting IPv6 only. Some of my work sites need IPv4,Repair
My service was buried but they only went 1 inch deep. It’s exposed,Repair
Whole-home DVR not showing recordings from other rooms,Repair
OnDemand says 'Temporarily Unavailable' on all channels for 2 days,Repair
My bill shows a $50 'Early Upgrade Fee' but my contract ended last month,Billing
Can you remove the $9.99 'HD Tech Fee'. I don’t even have HD service,Billing
I paid through the app but my bank shows it pending twice. Did you double charge,Billing
Why is there a $30 'Field Collection Fee' when I paid online before cutoff,Billing
My bill doesn’t show the $15 autopay discount we discussed last call,Billing
Can you split my $280 bill into 4 weekly payments starting Friday,Billing
I’m getting billed for Netflix through you and also directly. Please cancel yours,Billing
There’s a $4.99 'Convenience Charge' every month. Can I avoid that,Billing
My bill says I have 3 receivers but I returned one in March,Billing
Please waive the late fee. USPS lost my mailed check and I have proof,Billing
I need my account number and PIN to port out but the app won’t show it,Billing
Why did my 'Lifetime Price Lock' increase by $12 this month,Billing
Can you apply my $200 Mastercard reward to the equipment balance first,Billing
My bill has a $7 'Video Service Fee' but I cancelled cable 2 cycles ago,Billing
I’m on assistance. Can you backdate the Lifeline credit to last month,Billing
There’s a duplicate $14.99 'Security Suite' charge on my statement,Billing
My bill shows $0 due but I got a disconnect notice in the mail today,Billing
